Title,DiscMand,MajorSpendingCategory,Agency,Bureau,Func,SubFunc,O2016,DiscMandAgg,MajSpendAgg,FuncAgg,,AgencyAgg,BureauAgg
Reduction to comply with discretionary cap & mand seq,Discretionary,Defense,Allowances                                                      ,Allowances,50,50,0,1195950,587551,595863,,,
Reduction to comply with discretionary cap & mand seq,Mandatory,Other Spending,Allowances                                                      ,Allowances,50,50,0,2448710,710521,595863,,,
"Ship Modernization, Operations and Sustainment Fund             ",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,230,1195950,587551,595863,,,
"Family housing construction, Navy and Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,54,1195950,587551,595863,,,
"Family housing operation and maintenance, Navy and Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,318,1195950,587551,595863,,,
"Medicare-Eligible retiree health fund contribution, Navy        ",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,1281,1195950,587551,595863,,,
"Medicare-Eligible retiree health fund contribution, Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,726,1195950,587551,595863,,,
"Medicare-Eligible retiree health fund contribution, reserve pers",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,116,1195950,587551,595863,,,
"Medicare-Eligible retiree health fund contribution, reserve pers",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,68,1195950,587551,595863,,,
"Military personnel, Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,12634,1195950,587551,595863,,,
"Operation and maintenance, Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,7195,1195950,587551,595863,,,
"Operation and maintenance, Marine Corps",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,1,2448710,710521,595863,,,
"Operation and maintenance, Marine Corps Reserve",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,266,1195950,587551,595863,,,
"Reserve personnel, Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,694,1195950,587551,595863,,,
"Procurement, Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,1379,1195950,587551,595863,,,
"Procurement, Marine Corps",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Procurement,50,51,0,2448710,710521,595863,,,
"Military construction, Navy and Marine Corps                    ",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,1525,1195950,587551,595863,,,
"Military Construction, Navy Reserve                             ",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,20,1195950,587551,595863,,,
"Research, Development, Test and Evaluation, Navy                ",Discretionary,Defense,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,16074,1195950,587551,595863,,,
"Research, Development, Test and Evaluation, Navy                ",Mandatory,Other Spending,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,55,2448710,710521,595863,,,
"Reserve personnel, Navy",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,1841,1195950,587551,595863,,,
"Military personnel, Navy",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,27907,1195950,587551,595863,,,
"Aircraft procurement, Navy",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,16142,1195950,587551,595863,,,
"Weapons procurement, Navy",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,3029,1195950,587551,595863,,,
"Weapons procurement, Navy",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Procurement,50,51,1,2448710,710521,595863,,,
"Procurement of ammunition, Navy and Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,858,1195950,587551,595863,,,
"Shipbuilding and conversion, Navy",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,14217,1195950,587551,595863,,,
"Operation and maintenance, Navy",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,44937,1195950,587551,595863,,,
"Operation and maintenance, Navy",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,7,2448710,710521,595863,,,
"Operation and maintenance, Navy Reserve",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,974,1195950,587551,595863,,,
"Other procurement, Navy",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,5841,1195950,587551,595863,,,
"Other procurement, Navy",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Procurement,50,51,3,2448710,710521,595863,,,
National defense sealift fund,Discretionary,Defense,Department of Defense--Military Programs                        ,Revolving and Management Funds,50,51,583,1195950,587551,595863,,,
"Intragovernmental Receipts, Profits from Ships' Stores, Navy",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-12,2448710,-238286,595863,,,
"Recoveries from FMS Sales, Navy",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-30,2448710,-238286,595863,,,
"General Fund Receipts, not Otherwise Classified, Navy",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-90,2448710,-238286,595863,,,
"Undistrib. Intragovernmental Pymnts, Receivables from cancelled accts, Navy",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-20,2448710,-238286,595863,,,
"Recoveries from government properties, lost or damaged",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-35,2448710,-238286,595863,,,
"Family housing construction, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,46,1195950,587551,595863,,,
"Family housing operation and maintenance, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,365,1195950,587551,595863,,,
"Medicare-Eligible retiree health fund contribution, Army        ",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,1890,1195950,587551,595863,,,
"Medicare-Eligible Retiree Health Fund, Reserves, Army           ",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,358,1195950,587551,595863,,,
"Medicare-Eligible Retiree Health Fund Contribution, National Gua",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,630,1195950,587551,595863,,,
"Military personnel, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,42737,1195950,587551,595863,,,
"Operation and maintenance, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,48110,1195950,587551,595863,,,
"Operation and maintenance, Army",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,5,2448710,710521,595863,,,
"Aircraft procurement, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,5399,1195950,587551,595863,,,
"Aircraft procurement, Army",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Procurement,50,51,0,2448710,710521,595863,,,
"Missile procurement, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,1416,1195950,587551,595863,,,
"Procurement of weapons and tracked combat vehicles, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,1907,1195950,587551,595863,,,
"Procurement of ammunition, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,1661,1195950,587551,595863,,,
"Other procurement, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,6158,1195950,587551,595863,,,
"Other procurement, Army",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Procurement,50,51,0,2448710,710521,595863,,,
"Research, Development, Test and Evaluation, Army                ",Discretionary,Defense,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,7022,1195950,587551,595863,,,
"Research, Development, Test and Evaluation, Army                ",Mandatory,Other Spending,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,29,2448710,710521,595863,,,
"Military construction, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,1329,1195950,587551,595863,,,
"National Guard personnel, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,7934,1195950,587551,595863,,,
"Operation and maintenance, Army National Guard",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,6515,1195950,587551,595863,,,
"Reserve personnel, Army",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,4375,1195950,587551,595863,,,
"Operation and maintenance, Army Reserve",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,2542,1195950,587551,595863,,,
"Military construction, Army National Guard",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,314,1195950,587551,595863,,,
"Military construction, Army Reserve",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,161,1195950,587551,595863,,,
Afghanistan security forces fund                                ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,2520,1195950,587551,595863,,,
Iraq security forces fund                                       ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,5,1195950,587551,595863,,,
Joint Improvised-Threat Defeat Fund                             ,Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,621,1195950,587551,595863,,,
Pakistan Counterinsurgency  Fund                                ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,1,1195950,587551,595863,,,
Afghanistan Infrastructure Fund                                 ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,219,1195950,587551,595863,,,
Iraq Train and Equip Fund                                       ,Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,924,1195950,587551,595863,,,
Other DOD trust funds,Mandatory,Other Spending,Department of Defense--Military Programs                        ,Trust Funds,50,51,31,2448710,710521,595863,,,
"Recoveries from FMS Sales, Army",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-25,2448710,-238286,595863,,,
"General Fund Receipts, not Otherwise Classified, Army",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-200,2448710,-238286,595863,,,
"Receipts, Restoration of the RM Arsenal",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-1,2448710,-238286,595863,,,
"Undistributed intragovernmental pymnts, Receivables from cancelled accts., Army",Mandatory,Offsetting receipts,Department of Defense--Military Programs                        ,Department of Defense--Military Programs                        ,50,51,-80,2448710,-238286,595863,,,
"Family housing construction, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,87,1195950,587551,595863,,,
"Family housing operation and maintenance, Air Force",Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,296,1195950,587551,595863,,,
"Medicare-Eligible retiree health fund contribution, Air Force   ",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,1239,1195950,587551,595863,,,
"Medicare-Eligible retiree health fund contribution, reserve pers",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,118,1195950,587551,595863,,,
"Medicare-Eligible retiree health fund contribution, National Gua",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,204,1195950,587551,595863,,,
