Title,DiscMand,MajorSpendingCategory,Agency,Bureau,Func,SubFunc,O2016
Reduction to comply with discretionary cap & mand seq,Discretionary,Defense,Allowances                                                      ,Allowances,50,50,0
Reduction to comply with discretionary cap & mand seq,Mandatory,Other Spending,Allowances                                                      ,Allowances,50,50,0
"Ship Modernization, Operations and Sustainment Fund             ",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,230
"Family housing construction, Navy and Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,54
"Family housing operation and maintenance, Navy and Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Family Housing,50,51,318
"Medicare-Eligible retiree health fund contribution, Navy        ",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,"1,281"
"Medicare-Eligible retiree health fund contribution, Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,726
"Medicare-Eligible retiree health fund contribution, reserve pers",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,116
"Medicare-Eligible retiree health fund contribution, reserve pers",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,68
"Military personnel, Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,"12,634"
"Operation and maintenance, Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,"7,195"
"Operation and maintenance, Marine Corps",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,1
"Operation and maintenance, Marine Corps Reserve",Discretionary,Defense,Department of Defense--Military Programs                        ,Operation and Maintenance,50,51,266
"Reserve personnel, Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,694
"Procurement, Marine Corps",Discretionary,Defense,Department of Defense--Military Programs                        ,Procurement,50,51,"1,379"
"Procurement, Marine Corps",Mandatory,Other Spending,Department of Defense--Military Programs                        ,Procurement,50,51,0
"Military construction, Navy and Marine Corps                    ",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,"1,525"
"Military Construction, Navy Reserve                             ",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Construction,50,51,20
"Research, Development, Test and Evaluation, Navy                ",Discretionary,Defense,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,"16,074"
"Research, Development, Test and Evaluation, Navy                ",Mandatory,Other Spending,Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",50,51,55
"Reserve personnel, Navy",Discretionary,Defense,Department of Defense--Military Programs                        ,Military Personnel,50,51,"1,841"
